Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACE	gene	ACE	Expert Review Green;Expert Review Green	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;{Myocardial infarction, susceptibility to}{Alzheimer disease, susceptibility to}, 104300{Microvascular complications of diabetes 3}, 612624[Angiotensin I-converting enzyme, benign serum increase]{SARS, progression of}Renal tubular;Renal Tubular Dysgenesis 267430						False	3	67;33;0	18.1	False		ENSG00000159640	ENSG00000159640	HGNC:2707													
ACE	gene	ACE	Expert Review Green;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;{Myocardial infarction, susceptibility to}{Alzheimer disease, susceptibility to}, 104300{Microvascular complications of diabetes 3}, 612624[Angiotensin I-converting enzyme, benign serum increase]{SARS, progression of}Renal tubular				30058238;16116425		False	3	100;0;0	18.1	True		ENSG00000159640	ENSG00000159640	HGNC:2707													
ACE	gene	ACE	Expert Review Green;UKGTN;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis 267430						False	3	0;0;0	18.1	False		ENSG00000159640	ENSG00000159640	HGNC:2707													
ACTG2	gene	ACTG2	Expert Review Green;Expert Review	Renal superpanel - broad		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Megacystis-microcolon intestinal  hypoperistalsis syndrome; visceral myopathy; Berdon syndrome				PMID: 25998219		False	3	100;0;0	18.1	False		ENSG00000163017	ENSG00000163017	HGNC:145													
ACTG2	gene	ACTG2	Expert Review Green;Expert Review	Renal superpanel - broad		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Visceral myopathy	(Megacystis-microcolon intestinal  hypoperistalsis syndrome,  Berdon syndrome) 155310"				25998219		False	3	0;0;0	18.1	False		ENSG00000163017	ENSG00000163017	HGNC:145													
ACTG2	gene	ACTG2	Expert Review Green;Expert Review Green	Renal superpanel - broad		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Berdon syndrome;visceral myopathy;Visceral myopathy (Megacystis-microcolon intestinal  hypoperistalsis syndrome,  Berdon syndrome) 155310;Megacystis-microcolon intestinal  hypoperistalsis syndrome				PMID: 25998219		False	3	50;50;0	18.1	False		ENSG00000163017	ENSG00000163017	HGNC:145													
ACTN4	gene	ACTN4	Expert Review Green	Renal superpanel - broad		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulosclerosis, focal segmental, 1 603278				26301083;16251236;10700177		False	3	0;100;0	18.1	False		ENSG00000130402	ENSG00000130402	HGNC:166													
ACTN4	gene	ACTN4	Expert Review Green;UKGTN;Emory Genetics Laboratory;Radboud University Medical Center, Nijmegen;Eligibility statement prior genetic testing	Renal superpanel - broad		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Glomerulosclerosis, focal segmental, 1	603278"				10700177;26301083;16251236		False	3	0;0;0	18.1	False		ENSG00000130402	ENSG00000130402	HGNC:166													
ACTN4	gene	ACTN4	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Renal superpanel - broad		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulosclerosis, focal segmental, 1 603278				10700177;26301083;16251236;29043128		False	3	100;0;0	18.1	True	Other - please provide details in the comments	ENSG00000130402	ENSG00000130402	HGNC:166													
AGT	gene	AGT	Expert Review Green;UKGTN;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, 267430						False	3	0;0;0	18.1	False		ENSG00000135744	ENSG00000135744	HGNC:333													
AGT	gene	AGT	Expert Review Green;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;{Hypertension, essential, susceptibility to}, 145500{Preeclampsia, susceptibility to}Renal tubular dysgenesis, 267430						False	3	100;0;0	18.1	True		ENSG00000135744	ENSG00000135744	HGNC:333													
AGT	gene	AGT	Expert Review Green;Expert Review Green	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;{Hypertension, essential, susceptibility to}, 145500{Preeclampsia, susceptibility to}Renal tubular dysgenesis, 267430;Renal tubular dysgenesis, 267430						False	3	67;33;0	18.1	False		ENSG00000135744	ENSG00000135744	HGNC:333													
AGTR1	gene	AGTR1	Expert Review Green;Expert list;Illumina TruGenome Clinical Sequencing Services;UKGTN	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, 267430						False	3	0;0;0	18.1	False		ENSG00000144891	ENSG00000144891	HGNC:336													
AGTR1	gene	AGTR1	Expert Review Green;Expert Review Green	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;Renal tubular dysgenesis, 267430;Hypertension, essential, 145500						False	3	67;33;0	18.1	False		ENSG00000144891	ENSG00000144891	HGNC:336													
AGTR1	gene	AGTR1	Expert Review Green;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal Tubular Dysgenesis;Hypertension, essential, 145500;Renal tubular dysgenesis, 267430						False	3	100;0;0	18.1	True		ENSG00000144891	ENSG00000144891	HGNC:336													
AGXT	gene	AGXT	Expert Review Green;NHS GMS	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Hyperoxaluria, primary, type 1, 259900;Primary Hyperoxaluria;Hyperoxaluria;primary hyperoxaluria;Primary Hyperoxaluria Type 1						False	3	50;50;0	18.1	False		ENSG00000172482	ENSG00000172482	HGNC:341													
AGXT	gene	AGXT	Expert Review Green;Eligibility statement prior genetic testing;Expert;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services;UKGTN;Emory Genetics Laboratory	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Primary Hyperoxaluria Type 1;Primary Hyperoxaluria;Hyperoxaluria, primary, type 1, 259900;Hyperoxaluria;primary hyperoxaluria						False	3	100;0;0	18.1	True		ENSG00000172482	ENSG00000172482	HGNC:341													
AHI1	gene	AHI1	Eligibility statement prior genetic testing;Expert list;Expert Review Green;Other	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 3;Joubert syndrome;Joubert syndrome-3.						False	3	100;0;0	18.1	False		ENSG00000135541	ENSG00000135541	HGNC:21575													
AHI1	gene	AHI1	Expert Review Green	Renal superpanel - broad		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Ciliopathy genes associated with cystic kidney disease;Joubert syndrome-3  608629				16155189		False	3	50;50;0	18.1	False		ENSG00000135541	ENSG00000135541	HGNC:21575													
