Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Approved Gene Symbol	Entrez Gene ID	Phenotypes
chr1	1	27600000	1p36		607413	AD7CNTP			
chr1	1	27600000	1p36		612367	ALPQTL2		100196914	"{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)"
chr1	1	123400000	1p		606788	ANON1		171514	"{Anorexia nervosa, susceptibility to, 1}, 606788 (2)"
chr1	1	27600000	1p36		605462	BCC1		100307118	"{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)"
chr1	1	27600000	1p36		606928	BMND3		246259	"[Bone mineral density QTL 3], 606928 (2)"
chr1	1	2300000	1p36.33		618815	"C1DUPp36.33, DUP1p36.33"			"Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster, 618815 (4), Autosomal dominant"
chr1	1	27600000	1p36		155600	"CMM, MLM, DNS"		1243	"{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant"
chr1	1	20100000	1pter-p36.13		115665	"CTRCT8, CCV"		7792	"Cataract 8, multiple types, 115665 (2), Autosomal dominant"
chr1	1	27600000	1p36		607872	"DEL1p36, C1DELp36"			"Chromosome 1p36 deletion syndrome, distal, 607872 (4), Isolated cases"
chr1	1	27600000	1p36		619343	"DEL1p36, C1DELp36"			"Chromosome 1p36 deletion syndrome, proximal, 619343 (4), Autosomal dominant"
chr1	1	46300000	1p36-p34		608995	DYX8		406874	"{Dyslexia, susceptibility to, 8}, 608995 (2), Multifactorial, Autosomal dominant"
chr1	1	27600000	1pter-p36		131190	"ERPL1, HLM2"			
chr1	1	27600000	1p36		605225	IBD7		57042	"{Inflammatory bowel disease 7}, 605225 (2)"
chr1	1	27600000	1p36		612596	MS4		100271696	"{Multiple sclerosis, susceptibility to, 4}, 612596 (2)"
chr1	1	27600000	1p36		610320	MYP14		100359407	"Myopia 14, 610320 (2), Autosomal dominant"
chr1	1	123400000	1p		605606	PSORS7		65245	"{Psoriasis susceptibility 7}, 605606 (2)"
chr1	1	7100000	1p36.3		604008	PTPRZ2	PTPRZ2	5804	
chr1	1	94300000	1pter-p22.1		154280	"SAI1, MTS1, TFS1"		6298	
chr1	1	27600000	1p36		618485	ZBTB40IT1	ZBTB40-IT1	100874345	
chr1	923923	944574	1p36.33	1p36.33	616765	"SAMD11, MRS"	SAMD11	148398	
chr1	944203	959256	1p36.33	1p36.33	610770	"NOC2L, NIR"	NOC2L	26155	
chr1	960584	965719	1p36.33	1p36.33	619262	"KLHL17, AF"	KLHL17	339451	
chr1	975198	982093	1p36.33	1p36.33	615921	"PERM1, C1orf170"	PERM1	84808	
chr1	998964	1000097	1p36.31	1p36.33	608060	HES4	HES4	57801	
chr1	1013497	1014540	1p36.33	1p36.33	147571	"ISG15, G1P2, IFI15, IMD38"	ISG15	9636	"Immunodeficiency 38, 616126 (3), Autosomal recessive"
chr1	1020120	1056116	1pter-p32	1p36.33	103320	"AGRN, CMS8"	AGRN	375790	"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive"
chr1	1167104	1167198	1p36.33	1p36.33	612091	"MIR200B, MIRN200B"	MIR200B	406984	
chr1	1167863	1167952	1p36.33	1p36.33	612090	"MIR200A, MIRN200A"	MIR200A	406983	
chr1	1169005	1169087	1p36.33	1p36.33	612094	"MIR429, MIRN429"	MIR429	554210	
chr1	1203508	1206592	1p36.3	1p36.33	603905	"TNFRSF18, AITR, GITR"	TNFRSF18	8784	
chr1	1211340	1214153	1p36	1p36.33	600315	"TNFRSF4, TXGP1L, OX40, ACT35, IMD16"	TNFRSF4	7293	"?Immunodeficiency 16, 615593 (3), Autosomal recessive"
chr1	1216931	1232001	1p36.33	1p36.33	614282	"SDF4, CAB45"	SDF4	51150	
chr1	1232237	1235041	1p36.3	1p36.33	615291	"B3GALT6, SEMDJL1, EDSSPD2, ALGAZ"	B3GALT6	126792	"Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive; Al-Gazali syndrome, 609465 (3), Autosomal recessive"
