Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACE	gene	ACE	Expert Review Green;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, MIM# 267430			Abnormality of the kidney;HP:0000077	PMID: 16116425, 22095942		False	3	100;0;0	8.20	False		ENSG00000159640	ENSG00000159640	HGNC:2707													
ACTG2	gene	ACTG2	Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Visceral myopathy, MIM#	155310"			Abnormality of the kidney;HP:0000077			False	3	100;0;0	8.20	True		ENSG00000163017	ENSG00000163017	HGNC:145													
ACTN4	gene	ACTN4	Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulosclerosis, focal segmental, 1, MIM#603278			Abnormality of the kidney;HP:0000077	26740551;22351778;10700177;26301083		False	3	100;0;0	8.20	True		ENSG00000130402	ENSG00000130402	HGNC:166													
AFF3	gene	AFF3	Expert Review Green;Literature	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	KINSSHIP syndrome, MIM# 619297			Abnormality of the kidney;HP:0000077	31388108;33961779		False	3	100;0;0	8.20	True		ENSG00000144218	ENSG00000144218	HGNC:6473													
AGT	gene	AGT	Expert Review Green;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, MIM# 267430			Abnormality of the kidney;HP:0000077	PMID: 16116425, 34234805, 33163725		False	3	100;0;0	8.20	False		ENSG00000135744	ENSG00000135744	HGNC:333													
AGTR1	gene	AGTR1	Expert Review Green;Expert list;Expert Review Green;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, MIM# 267430			Abnormality of the kidney;HP:0000077	PMID: 16116425		False	3	100;0;0	8.20	False		ENSG00000144891	ENSG00000144891	HGNC:336													
AGXT	gene	AGXT	Expert Review Green;Victorian Clinical Genetics Services;Expert list;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	MONDO:0009823;Hyperoxaluria, primary, type 1, MIM# 259900			Abnormality of the kidney;HP:0000077	10453743;2039493;1703535;19479957		False	3	100;0;0	8.20	True		ENSG00000172482	ENSG00000172482	HGNC:341													
AHI1	gene	AHI1	Expert Review Green;Expert Review Green;Expert list;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 3, MIM#608629			Abnormality of the kidney;HP:0000077	PubMed: 15322546;15467982;16453322;29146704		False	3	100;0;0	8.20	True		ENSG00000135541	ENSG00000135541	HGNC:21575													
AIRE	gene	AIRE	Expert Review Green;Expert list;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia, OMIM #240300			Abnormality of the kidney;HP:0000077	35521792		False	3	100;0;0	8.20	True		ENSG00000160224	ENSG00000160224	HGNC:360													
ALG5	gene	ALG5	Expert Review Green;Literature	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Polycystic kidney disease 7, MIM# 620056;Multiple small kidney cysts, progressive interstitial fibrosis, and kidney function decline			Abnormality of the kidney;HP:0000077	35896117		False	3	100;0;0	8.20	True		ENSG00000120697	ENSG00000120697	HGNC:20266													
ALG8	gene	ALG8	Expert Review Green;Expert Review	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Polycystic liver disease 3 with or without kidney cysts, MIM# 617874			Abnormality of the kidney;HP:0000077	PMID: 28375157, 32457805		False	3	100;0;0	8.20	True		ENSG00000159063	ENSG00000159063	HGNC:23161													
ALG9	gene	ALG9	Expert Review Green;Literature	Kidneyome_SuperPanel		Renal and urinary tract disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	"Congenital disorder of glycosylation, type Il, MIM#	608776;Gillessen-Kaesbach-Nishimura syndrome, MIM#263210;Polycystic kidney disease"			Abnormality of the kidney;HP:0000077	31395617		False	3	50;50;0	8.20	True		ENSG00000086848	ENSG00000086848	HGNC:15672													
ALMS1	gene	ALMS1	Expert Review Green;Victorian Clinical Genetics Services;Expert Review Green;Victorian Clinical Genetics Services;Victorian Clinical Genetics Services;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	Unknown				Abnormality of the kidney;HP:0000077			False	3	100;0;0	8.20	False		ENSG00000116127	ENSG00000116127	HGNC:428													
ALPL	gene	ALPL	Expert Review Green;Expert list;Expert list;NHS GMS;Victorian Clinical Genetics Services	Kidneyome_SuperPanel		Renal and urinary tract disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Hypophosphatasia, childhood, OMIM #241510;Odontohypophosphatasia, OMIM #146300;Hypophosphatasia, adult, OMIM # 146300;Hypophosphatasia, infantile, OMIM #241500			Abnormality of the kidney;HP:0000077	23688511;19500388		False	3	100;0;0	8.20	True		ENSG00000162551	ENSG00000162551	HGNC:438													
AMMECR1	gene	AMMECR1	Expert Review Green;Expert Review;Expert Review	Kidneyome_SuperPanel		Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis, MIM# 300990			Abnormality of the kidney;HP:0000077	28089922;27811305;29193635		False	3	100;0;0	8.20	True		ENSG00000101935	ENSG00000101935	HGNC:467													
AMN	gene	AMN	NHS GMS;Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Megaloblastic anemia-1, Norwegian type, MIM#261100			Abnormality of the kidney;HP:0000077	15024727		False	3	100;0;0	8.20	True		ENSG00000166126	ENSG00000166126	HGNC:14604													
ANKS6	gene	ANKS6	Expert Review Green;KidGen_CilioNephronop v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 16, MIM# 615382;MONDO:0014158			Abnormality of the kidney;HP:0000077	23793029;31678577;31635528;26039630;24610927		False	3	100;0;0	8.20	True		ENSG00000165138	ENSG00000165138	HGNC:26724													
ANOS1	gene	ANOS1	Expert Review Green;Victorian Clinical Genetics Services;Victorian Clinical Genetics Services;Expert Review Green	Kidneyome_SuperPanel		Renal and urinary tract disorders	Unknown				Abnormality of the kidney;HP:0000077			False	3	100;0;0	8.20	False		ENSG00000011201	ENSG00000011201	HGNC:6211													
AP2S1	gene	AP2S1	Expert Review Green;KidGen_CalcPhos v38.1.0;KidGen_CalcPhos v38.1.0	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypocalciuric hypercalcaemia, type III, MIM# 600740;MONDO:0010926			Abnormality of the kidney;HP:0000077	33729479;3204769;23222959;29479578;33168530;31723423		False	3	100;0;0	8.20	True		ENSG00000042753	ENSG00000042753	HGNC:565													
APOA1	gene	APOA1	Expert Review Green;Expert list	Kidneyome_SuperPanel		Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Amyloidosis, 3 or more types, MIM#105200			Abnormality of the kidney;HP:0000077	PubMed:31482740;29968409;27240838		False	3	100;0;0	8.20	True		ENSG00000118137	ENSG00000118137	HGNC:600													
